OBJECTID,STREET_DIR,L_LADD,L_LSRC,L_HADD,L_HSRC,R_LADD,R_LSRC,R_HADD,R_HSRC,L_POSTAL,R_POSTAL,STREET_CLA,ONEWAY,ONEWAY_DIR,DATA_ADD1,DATE_EDIT,COMMENTS,WIDTH,GGM_ID,STATUS,CHECK_,SECT_NO,SECT_OLD,ROAD_NAME_ID,SEGMENT_ID,STREET_NAME,STREET_TYPE,STREET_DIR_PREFIX,STREET_TYPE_PREFIX,ALIAS_ST_D,JURISDICTION,FULL_STREET_NAME,ROUTE,L_MUNC_ID,R_MUNC_ID,L_MUNC_FULL,R_MUNC_FULL,END_DATE,ENG_CLASS,SPEED_LIMIT,HEIGHT_LIMIT,PLAN_CLASS,WEIGHT_LIMIT,PLOW_PR,ENTRY_UID,ENTRY_WHEN,GISID,DATA_ADD,TOP_ALIAS,GLOBALID,PARENTID,NUM_PASSES,WINTER_ZON,ResurfacingStage,SHAPESTLength
3617,,2338,K,2398,K,2339,K,2399,K, , ,U,,,19960409, , ,0,6395, ,3,3096,01030,539,4733,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:16:08+00,3096,1970/01/01 00:00:00+00,,{64666C2E-1FB4-4C5B-96DF-219FA6996639},,1,Z2,,220.850203758113
3618,,2400,K,2418,K,2401,K,2419,K, , ,U,,,19960409,20010223, ,0,6445, ,3,3097,01032,539,4743,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:16:09+00,3097,1970/01/01 00:00:00+00,,{E0DE769F-3C07-47A4-A2AB-8260F704A6CA},,1,Z2,,91.4016783757866
3619,,2430,K,2480,K,2427,K,2479,K, , ,U,,,19960409,20010223, ,0,6545, ,3,3098,04920,735,4747,MEADOWOOD,CRES,,,,M,MEADOWOOD CRES,MEADOWOOD CRES,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:38+00,3098,1970/01/01 00:00:00+00,,{07C6A324-C4E1-4297-B053-41AF0587F1ED},,2,P2,,224.928971711218
3620,,214,K,230,K,215,K,231,K, , ,U,,,19960409, , ,0,7011, ,3,3099,04910,220,4744,CHERRYHILL,RD,,,,M,CHERRYHILL RD,CHERRYHILL RD,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:38+00,3099,1970/01/01 00:00:00+00,,{327D48FF-1389-4CEC-8B88-8A50421E0E7B},,2,P2,,93.3191627314087
3621,,2420,K,2478,K,2421,K,2479,K, , ,U,,,19960409,19990222, ,0,7010, ,3,3100,01032,539,4757,HIXON,ST,,,,M,HIXON ST,HIXON ST,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,50,,,,2,RDEAN,2017/11/28 13:00:39+00,3100,1970/01/01 00:00:00+00,,{4C385A9F-9FF2-4043-8752-585FB4CACCA4},,1,Z2,,221.574303136574
3622,W,2202,K,2272,K,2203,K,2273,K, , ,1,,,19960409, , ,0,7092, ,3,3101,00050,608,4718,LAKESHORE,RD,,,W,M,LAKESHORE RD W,LAKESHORE RD W,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,2,50,,R,,1,RDEAN,2017/11/28 12:27:12+00,3101,1970/01/01 00:00:00+00,HIGHWAY 2,{5BFDF41D-DE21-47A5-9954-58F87C91C9A1},,2,R1,,220.751792702018
3623,W,2084,K,2120,K,2085,K,2119,K, , ,1,,,19960409, , ,0,7110, ,3,3102,00052,608,4659,LAKESHORE,RD,,,W,M,LAKESHORE RD W,LAKESHORE RD W,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,3,50,,R,,1,RDEAN,2017/11/28 13:00:39+00,3102,1970/01/01 00:00:00+00,HIGHWAY 2,{4F273C6F-5296-4D23-82EC-A118C717C66C},,2,R1,,173.46968092632
3624,, ,K, ,K, ,K, ,K, , ,U,,,19960409,20010223, ,0,6090, ,3,3103,04810,1080,4642,SOLINGATE,DR,,,,M,SOLINGATE DR,SOLINGATE DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,4,40,,,,3,RDEAN,2017/11/28 13:00:40+00,3103,1970/01/01 00:00:00+00,,{EA173292-93D0-4B1E-AA02-2A14063188A6},,2,P2,,13.0488963528398
3625,,100,K,118,K,99,K,119,K, , ,U,,,19960409,20010223, ,0,7103, ,3,3104,04820,1214,4673,ULSTER,DR,,,,M,ULSTER DR,ULSTER DR,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 12:27:13+00,3104,1970/01/01 00:00:00+00,,{F1261846-109E-4EA2-B211-31708D47857D},,2,P2,,62.1780001911197
3626,,2128,K,2172,K,2127,K,2173,K, , ,U,,,19960409,19990222, ,0,7117, ,3,3105,04830,1141,4636,SUNNYBROOK,CRT,,,,M,SUNNYBROOK CRT,SUNNYBROOK CRT,FCGKZ,FCGKZ,Oakville,Oakville,1970/01/01 00:00:00+00,5,50,,,,3,RDEAN,2017/11/28 13:00:40+00,3105,1970/01/01 00:00:00+00,,{8EEAEA08-3144-41E3-A062-0EA7923E04C1},,2,P2,,184.026216545647
